name,address,price,distance,rate_review,num_review,rating_stars,link,source_url
Modern Apartments Toruń 3,"Stare Miasto, Toruń",166,350.0,9.4,171.0,3,https://www.booking.com/hotel/pl/modern-apartments-torun-3.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=734585701_333182328_2_0_0&highlighted_blocks=734585701_333182328_2_0_0&matching_block_id=734585701_333182328_2_0_0&sr_pri_blocks=734585701_333182328_2_0_0__16640&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
"Willa 1936 , Parking","Stare Miasto, Toruń",167,800.0,9.2,1069.0,3,https://www.booking.com/hotel/pl/willa-1936.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=790778207_338859450_2_0_0&highlighted_blocks=790778207_338859450_2_0_0&matching_block_id=790778207_338859450_2_0_0&sr_pri_blocks=790778207_338859450_2_0_0__16720&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
Quick Trip Apartments Toruń,"Stare Miasto, Toruń",154,500.0,9.5,236.0,3,https://www.booking.com/hotel/pl/quick-trip-apartments-torun.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=1140466802_386912093_2_0_0&highlighted_blocks=1140466802_386912093_2_0_0&matching_block_id=1140466802_386912093_2_0_0&sr_pri_blocks=1140466802_386912093_2_0_0__15421&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
"Planetarium - Stare Miasto, Parking Free","Stare Miasto, Toruń",150,100.0,8.6,900.0,3,https://www.booking.com/hotel/pl/vistula-boutique-rooms.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=111587609_377643497_2_0_0&highlighted_blocks=111587609_377643497_2_0_0&matching_block_id=111587609_377643497_2_0_0&sr_pri_blocks=111587609_377643497_2_0_0__15040&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
ibis budget Torun,Toruń,149,600.0,7.9,3499.0,1,https://www.booking.com/hotel/pl/ibis-budget-torun.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDcxZjAyMThlLWE1NjYtNDYyMy1hNzRkLTdkMmM2MmRiYjQ2YtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class_asc&srpvid=faf36634162a0908&srepoch=1734964331&all_sr_blocks=478263602_376292456_2_2_0&highlighted_blocks=478263602_376292456_2_2_0&matching_block_id=478263602_376292456_2_2_0&sr_pri_blocks=478263602_376292456_2_2_0__14900&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=class_asc
Przy Przystani by Rentoom,Toruń,256,1000.0,10.0,1.0,3,https://www.booking.com/hotel/pl/przy-przystani-by-rentoom.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=1264436502_399430835_2_0_0&highlighted_blocks=1264436502_399430835_2_0_0&matching_block_id=1264436502_399430835_2_0_0&sr_pri_blocks=1264436502_399430835_2_0_0__25563&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
Ślusarska 5,"Stare Miasto, Toruń",757,500.0,9.5,74.0,3,https://www.booking.com/hotel/pl/slusarska-5.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDlhODZkMWVjLWU5OGUtNDhiZC05YWJkLWFjNzk5ZGE3MzJmNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price_from_high_to_low&srpvid=4e3b6634edae0389&srepoch=1734964331&all_sr_blocks=1015622801_374077703_2_0_0&highlighted_blocks=1015622801_374077703_2_0_0&matching_block_id=1015622801_374077703_2_0_0&sr_pri_blocks=1015622801_374077703_2_0_0__75694&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=price_from_high_to_low
Venus,"Stare Miasto, Toruń",230,900.0,9.3,75.0,3,https://www.booking.com/hotel/pl/venus-torun.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=768015501_334378795_2_0_0&highlighted_blocks=768015501_334378795_2_0_0&matching_block_id=768015501_334378795_2_0_0&sr_pri_blocks=768015501_334378795_2_0_0__22982&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
"Perfect Stay - ""Apartamenty Horzyca""","Stare Miasto, Toruń",193,150.0,8.1,798.0,3,https://www.booking.com/hotel/pl/apartament-horzyca.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=404392307_124207341_2_0_0&highlighted_blocks=404392307_124207341_2_0_0&matching_block_id=404392307_124207341_2_0_0&sr_pri_blocks=404392307_124207341_2_0_0__19322&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
Kopernika Apart,"Stare Miasto, Toruń",220,150.0,9.2,141.0,3,https://www.booking.com/hotel/pl/kopernika-apart-torun.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=762702501_333375003_2_0_0&highlighted_blocks=762702501_333375003_2_0_0&matching_block_id=762702501_333375003_2_0_0&sr_pri_blocks=762702501_333375003_2_0_0__22010&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
Apartamenty Chleb i Wino Strumykowa,"Stare Miasto, Toruń",277,250.0,9.4,870.0,3,https://www.booking.com/hotel/pl/apartamenty-torun-ii.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=41580902_361040429_2_2_0&highlighted_blocks=41580902_361040429_2_2_0&matching_block_id=41580902_361040429_2_2_0&sr_pri_blocks=41580902_361040429_2_2_0__27700&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
Apartament nad Nowym Rynkiem,"Stare Miasto, Toruń",238,450.0,8.7,61.0,3,https://www.booking.com/hotel/pl/apartament-nad-nowym-rynkiem-torun.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=1074913401_380054871_2_0_0&highlighted_blocks=1074913401_380054871_2_0_0&matching_block_id=1074913401_380054871_2_0_0&sr_pri_blocks=1074913401_380054871_2_0_0__23765&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
Apartamenty Małe Garbary,"Stare Miasto, Toruń",393,350.0,9.5,214.0,3,https://www.booking.com/hotel/pl/apartamenty-male-garbary-13.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDg4NzYxMjZjLWUyNGQtNDc3Zi05YmZjLTAyMjM4MmJlNDM3MNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=upsort_bh&srpvid=5f4c66344f0b04fc&srepoch=1734964330&all_sr_blocks=63496206_192132499_0_1_0&highlighted_blocks=63496206_192132499_0_1_0&matching_block_id=63496206_192132499_0_1_0&sr_pri_blocks=63496206_192132499_0_1_0__39330&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=upsort_bh
