name,address,price,distance,rate_review,num_review,rating_stars,link,source_url,latitude,longitude,hotel_type
Apartament Fikakówka by Grand Apartments,Gdynia,9785,6600.0,8.3,3.0,3,https://www.booking.com/hotel/pl/apartament-dwupoziomowy-gdynia-by-grand-apartments.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGM4NzYzYWYyLWRlYWQtNDJmMS04YjkxLWVlMjUwNjVlMDExMNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price_from_high_to_low&srpvid=ca8476a5aafd0149&srepoch=1735318347&all_sr_blocks=1017896901_374274966_5_0_0&highlighted_blocks=1017896901_374274966_5_0_0&matching_block_id=1017896901_374274966_5_0_0&sr_pri_blocks=1017896901_374274966_5_0_0__978505&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price_from_high_to_low,54.466605,18.489062,Apartament
City Life - Gdynia by Grand Apartments,"Śródmieście, Gdynia",9783,500.0,9.0,14.0,3,https://www.booking.com/hotel/pl/city-life-gdynia-by-grand-apartments.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGM4NzYzYWYyLWRlYWQtNDJmMS04YjkxLWVlMjUwNjVlMDExMNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price_from_high_to_low&srpvid=ca8476a5aafd0149&srepoch=1735318347&all_sr_blocks=1020720701_374447728_6_0_0&highlighted_blocks=1020720701_374447728_6_0_0&matching_block_id=1020720701_374447728_6_0_0&sr_pri_blocks=1020720701_374447728_6_0_0__978305&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price_from_high_to_low,54.5220986,18.5395145,Apartament
Apartament Downtown Gdynia Śródmieście by Grand Apartments,"Śródmieście, Gdynia",9735,450.0,6.7,11.0,3,https://www.booking.com/hotel/pl/apartament-downtown-gdynia-srodmiescie-by-grand-apartments.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGM4NzYzYWYyLWRlYWQtNDJmMS04YjkxLWVlMjUwNjVlMDExMNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price_from_high_to_low&srpvid=ca8476a5aafd0149&srepoch=1735318347&all_sr_blocks=1017693801_374251331_4_0_0&highlighted_blocks=1017693801_374251331_4_0_0&matching_block_id=1017693801_374251331_4_0_0&sr_pri_blocks=1017693801_374251331_4_0_0__973505&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price_from_high_to_low,54.5206303,18.5378058,Apartament
Stylish Apartment in Gdynia Balcony & WIFI by Rent like home,Gdynia,509,6100.0,10.0,1.0,3,https://www.booking.com/hotel/pl/stylish-apartment-in-gdynia-balcony-wifi-by-rent-like-home.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGRjYTVlNjUzLTI1MDYtNDFiYy04NzQ2LWZjNjU5ZTc1ZjU2ZdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=review_score_and_price&srpvid=b39076a5a9e902a8&srepoch=1735318347&all_sr_blocks=1187419002_391097106_4_0_0&highlighted_blocks=1187419002_391097106_4_0_0&matching_block_id=1187419002_391097106_4_0_0&sr_pri_blocks=1187419002_391097106_4_0_0__50914&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=review_score_and_price,54.56673253481458,18.50065224671637,Apartament
Willa Białe Miasto,"Wzgórze Świętego Maksymiliana, Gdynia",678,1400.0,8.7,375.0,3,https://www.booking.com/hotel/pl/biale-miasto-ltc-apartments.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJDA2NTMzMGQ0LTcwOGUtNDI1Zi1iMjgxLWViNDEyYzlmZjc4NtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=upsort_bh&srpvid=68cd76a52bc10138&srepoch=1735318347&all_sr_blocks=495101805_391333277_2_0_0&highlighted_blocks=495101805_391333277_2_0_0&matching_block_id=495101805_391333277_2_0_0&sr_pri_blocks=495101805_391333277_2_0_0__67810&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=upsort_bh,54.5064366,18.5518855,Apartament
Hotel Dom Marynarza,"Wzgórze Świętego Maksymiliana, Gdynia",346,1300.0,7.3,939.0,2,https://www.booking.com/hotel/pl/dom-marynarza.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJDI0NmU0NmYxLWFkYmYtNGNhNi04M2I3LWZjNzRiODhlMWYyMdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class_asc&srpvid=501f76a50ea500a3&srepoch=1735318347&all_sr_blocks=39464802_89086180_0_1_0&highlighted_blocks=39464802_89086180_0_1_0&matching_block_id=39464802_89086180_0_1_0&sr_pri_blocks=39464802_89086180_0_1_0__34644&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=class_asc,54.50768724443118,18.55161666870117,Hotel
Noclegi pokoje gościnne Żeglarz,Gdynia,124,3400.0,7.1,257.0,0,https://www.booking.com/hotel/pl/noclegi-pokoje-goscinne-zeglarz-4.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGUxYWNmZGI3LWY1OTAtNDEzNy1hMjNmLTZmZGVmYjM4MDQzM9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&srpvid=cd7f76a58eb00801&srepoch=1735318347&all_sr_blocks=1000923814_384887418_3_0_0&highlighted_blocks=1000923814_384887418_3_0_0&matching_block_id=1000923814_384887418_3_0_0&sr_pri_blocks=1000923814_384887418_3_0_0__12440&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price,54.4982654,18.5005387,Obiekt B&B
Nowy Fox Room,Gdynia,7004,3400.0,,,0,https://www.booking.com/hotel/pl/fox-room-gdynia.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGM4NzYzYWYyLWRlYWQtNDJmMS04YjkxLWVlMjUwNjVlMDExMNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price_from_high_to_low&srpvid=ca8476a5aafd0149&srepoch=1735318347&all_sr_blocks=1287243001_401684630_2_0_0&highlighted_blocks=1287243001_401684630_2_0_0&matching_block_id=1287243001_401684630_2_0_0&sr_pri_blocks=1287243001_401684630_2_0_0__700370&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price_from_high_to_low,54.531111,18.495175,Kwatera prywatna
Nasypowa Marine Apartment,Gdynia,535,3400.0,10.0,1.0,3,https://www.booking.com/hotel/pl/nasypowa-marine-apartment.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGRjYTVlNjUzLTI1MDYtNDFiYy04NzQ2LWZjNjU5ZTc1ZjU2ZdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=review_score_and_price&srpvid=b39076a5a9e902a8&srepoch=1735318347&all_sr_blocks=1302006501_403083029_4_0_0&highlighted_blocks=1302006501_403083029_4_0_0&matching_block_id=1302006501_403083029_4_0_0&sr_pri_blocks=1302006501_403083029_4_0_0__53500&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=review_score_and_price,54.5457128,18.5232275,Apartament
Zgoda 5 Apartment,"Śródmieście, Gdynia",604,450.0,10.0,2.0,0,https://www.booking.com/hotel/pl/zgoda-5-apartment.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGRjYTVlNjUzLTI1MDYtNDFiYy04NzQ2LWZjNjU5ZTc1ZjU2ZdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=review_score_and_price&srpvid=b39076a5a9e902a8&srepoch=1735318347&all_sr_blocks=1265448501_399210578_2_0_0&highlighted_blocks=1265448501_399210578_2_0_0&matching_block_id=1265448501_399210578_2_0_0&sr_pri_blocks=1265448501_399210578_2_0_0__60440&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=review_score_and_price,54.520243,18.536844,Apartament
